h,h_label,r,t,t_label,tau_start,l_h_lat,l_h_lon,l_t_lat,l_t_lon,__file,tau_end,vi_context,source
Q1706367,Giuse Maria Trịnh Văn Căn,bornIn,Q185682,Liên bang Đông Dương,1921.0,,,21.033333333333,105.85,historical_figures.csv,,,
Q1632174,Hoàng Vĩnh Lộc,bornIn,Q9326,Viêng Chăn,1925.0,,,17.98,102.63,historical_figures.csv,,,
Q1354244,Nguyễn Lộc,bornIn,Q1858,Hà Nội,1912.0,,,21.0245,105.84117,historical_figures.csv,,,
Q1159515,Đặng Ngọc Long,bornIn,Q881,Việt Nam,1957.0,,,16.0,108.0,historical_figures.csv,,,
Q1329827,Dương Trương Thiên Lý,bornIn,Q36676,Đồng Tháp,1989.0,,,10.455015,105.633957,historical_figures.csv,,,
Q1601892,Hồ Anh Thái,bornIn,Q1858,Hà Nội,1960.0,,,21.0245,105.84117,historical_figures.csv,,,
Q1354825,Giuse Maria Trịnh Như Khuê,bornIn,Q881,Việt Nam,1898.0,,,16.0,108.0,historical_figures.csv,,,
Q1600335,The Chau Ngo,bornIn,Q1858,Hà Nội,1977.0,,,21.0245,105.84117,historical_figures.csv,,,
Q1797921,Xuân Thủy,bornIn,Q1858,Hà Nội,1912.0,,,21.0245,105.84117,historical_figures.csv,,,
Q1159527,Đặng Thái Sơn,bornIn,Q1858,Hà Nội,1958.0,,,21.0245,105.84117,historical_figures.csv,,,
Q1882227,Ma Văn Kháng,bornIn,Q1858,Hà Nội,1936.0,,,21.0245,105.84117,historical_figures.csv,,,
Q1387616,Nguyễn Bá Cẩn,bornIn,Q216075,Cần Thơ,1930.0,,,10.1547298,105.5005357,historical_figures.csv,,,
Q1827063,Phạm Văn Sơn,bornIn,Q546840,Hà Đông,1915.0,,,20.97148,105.776421,historical_figures.csv,,,
Q1756306,Lê Ngọc Hân,bornIn,Q10825974,Thăng Long,1770.0,,,,,historical_figures.csv,,,
Q1165375,Dao Bac,bornIn,Q881,Việt Nam,1950.0,,,16.0,108.0,historical_figures.csv,,,
Q1937110,Trần Thiện Khiêm,bornIn,Q1854,Thành phố Hồ Chí Minh,1925.0,,,10.775555555556,106.70194444444,historical_figures.csv,,,
