h,h_label,r,t,t_label,tau_start,l_h_lat,l_h_lon,l_t_lat,l_t_lon
Q4870486,Trận Bình Ba,occurredAt,Q2925938,Bình Ba,1969,10.59,107.23,10.619722222222,107.21583333333
Q113634243,Battle of Fakashan,occurredAt,Q3088988,biên giới Việt-Trung,1981,,,22.4,102.15
Q23020687,Trận Lạng Sơn,occurredAt,Q33383,Lạng Sơn,1979,,,21.847777777778,106.75777777778
Q796498,Chiến tranh Đông Dương lần thứ ba,occurredAt,Q869,Thái Lan,1975,,,14.0,101.0
Q4872569,Battle of Tonkin River,occurredAt,Q10771669,Hải Phong,1849,,,20.14055556,106.2255556
Q714749,Trận Ia Đrăng,occurredAt,Q2904975,Suối Ia Drang,1965,13.58333333,107.71666667,13.316118480556,107.33822933056
Q55315763,Tet Offensive battle of Cholon and Phu Tho Racetrack,occurredAt,Q2405555,Chợ Lớn,1968,10.762,106.657,10.7514918,106.6604732
Q2026094,Operation Francis Marion,occurredAt,Q30599,Pleiku,1967,,,13.971519,108.014673
Q2888227,Chiến dịch Tây Nguyên,occurredAt,Q33469,Buôn Ma Thuột,1975,12.68,108.06,12.666666666667,108.05
Q4872414,Trận Sông Bé,occurredAt,Q10822747,Sông Bé,1965,11.819,106.961,11.004166666667,106.65833333333
Q5452524,Chiến dịch Lộc Ninh,occurredAt,Q6711776,Lộc Ninh,1967,,,11.85851,106.57854
Q130616488,Chiến dịch Hoàng Diệu,occurredAt,Q105076326,Sài Gòn,1955,,,10.8,106.65
Q4870894,Battle of Dong Dang,occurredAt,Q1285379,Đồng Đăng,1885,,,21.9458,106.697
Q4870316,Battle of Ap Bau Bang II,occurredAt,Q16480177,Bàu Bàng,1967,,,11.26308,106.61396
Q4872690,Trận Vĩnh Yên,occurredAt,Q36088,Vĩnh Yên,1951,,,21.31,105.59666666667
Q130616488,Chiến dịch Hoàng Diệu,occurredAt,Q105076326,Sài Gòn,1955,,,10.802222222222,106.69694444444
Q486866,Chiến dịch Linebacker II,occurredAt,Q172640,Việt Nam Dân chủ Cộng hòa,1972,,,21.033333,105.85
Q5037041,Trận Nam Định (1883),occurredAt,Q33682,Nam Định,1883,,,20.42,106.16833333333
Q4871119,Trận Gò Công,occurredAt,Q5626082,Gò Công,1963,,,10.366666666667,106.66666666667
Q30595417,Operation El Paso,occurredAt,Q1760239,Bình Long,1966,10.9,106.8,11.694,106.601
Q487076,Chiến dịch Xuân Lộc,occurredAt,Q5258599,Xuân Lộc,1975,10.923333333333,107.23916666667,10.926348,107.402681
Q4872466,Battle of Suoi Tre,occurredAt,Q180573,Việt Nam Cộng hòa,1967,11.493,106.266,10.776944444444,106.69527777778
Q1519185,Chiến dịch Hastings,occurredAt,Q2349960,Khu phi quân sự vĩ tuyến 17,1966,,,16.9875,107.0359
Q3539853,Trận Ngọc Hồi – Đống Đa,occurredAt,Q10800616,Ngọc Hồi,1788,,,20.917777777778,105.84138888889
Q859217,Chiến dịch Cedar Falls,occurredAt,Q1151196,Củ Chi,1967,,,10.97333,106.49325
Q901263,Chiến dịch Đắk Tô-Tân Cảnh (1967),occurredAt,Q36315,Kon Tum,1967,14.651111111111,107.79861111111,14.75,107.91666666667
Q2889954,Battle of Saigon,occurredAt,Q1854,Thành phố Hồ Chí Minh,1968,10.766944444444,106.66694444444,10.775555555556,106.70194444444
Q2748355,Chiến dịch Biên giới,occurredAt,Q10840765,Đông Khê,1950,,,22.4242,106.44
Q2748355,Chiến dịch Biên giới,occurredAt,Q10840765,Đông Khê,1950,,,22.421388888889,106.44611111111
Q23020689,Battle of Móng Cái,occurredAt,Q33204,Móng Cái,1979,,,21.529809,107.967948
Q4871890,Chiến dịch Lý Thường Kiệt,occurredAt,Q622778,Miền Bắc,1951,21.603888888889,104.50388888889,21.0,106.0
Q4273438,Trận Kontum,occurredAt,Q36493,Kon Tum,1972,14.3561,108.008,14.341666666667,107.97916666667
Q4873055,Trận Đức Cơ,occurredAt,Q5311199,Đức Cơ,1966,,,13.783333333333,107.67083333333
Q4871222,Battle of Hill 488,occurredAt,Q4846962,Hiệp Đức,1966,,,15.53857,108.09539
Q2889611,Battle of Phu Tong Hoa,occurredAt,Q7189925,Phủ Thông,1948,22.283333333333,105.88305555556,22.271643,105.880929
Q482456,Sự kiện 30 tháng 4 năm 1975,occurredAt,Q1854,Thành phố Hồ Chí Minh,1975,10.778055555556,106.69611111111,10.775555555556,106.70194444444
Q4871074,Trận Gang Toi,occurredAt,Q33271,Đồng Nai,1965,11.06,106.97,11.110278,107.181111
Q3636548,Battle of Nha Trang,occurredAt,Q19491,Nha Trang,,,,12.245,109.19166666667
Q4870896,Battle of Dong Khe,occurredAt,Q10840765,Đông Khê,1950,,,22.4242,106.44
Q2026028,Operation Crimp,occurredAt,Q1151196,Củ Chi,1966,11.060833333333,106.52861111111,10.97333,106.49325
Q4870896,Battle of Dong Khe,occurredAt,Q10840765,Đông Khê,1950,,,22.421388888889,106.44611111111
