h,h_label,r,t,t_label,tau_start,l_h_lat,l_h_lon,l_t_lat,l_t_lon,__file,tau_end,vi_context,source,h_in_vn,t_in_vn
Q116922961,Nguyễn Đại Thắng,bornIn,Q10826731,Thủ Sĩ,1975.0,20.659722222222,106.09361111111,20.659722222222,106.09361111111,historical_figures.csv,,,,True,True
Q116844801,Hà Phước Thắng,bornIn,Q2306905,Điện An,1976.0,15.89667,108.22833,15.89667,108.22833,historical_figures.csv,,,,True,True
Q116909726,Phan Thị Nguyệt Thu,bornIn,Q10835174,Đan Trường,1974.0,18.71194444,105.7722222,18.71194444,105.7722222,historical_figures.csv,,,,True,True
Q116880055,Phạm Nam Tiến,bornIn,Q10779621,Khánh Mậu,1968.0,20.189722222222,106.11083333333,20.189722222222,106.11083333333,historical_figures.csv,,,,True,True
Q116823004,Trần Thị Nhị Hà,bornIn,Q10834948,Xuân Hồng,1973.0,18.606666666667,105.72138888889,18.606666666667,105.72138888889,historical_figures.csv,,,,True,True
Q116949088,Hoàng Minh Hiếu,bornIn,Q10805488,Phong Thịnh,1976.0,18.848333333333,105.26138888889,18.848333333333,105.26138888889,historical_figures.csv,,,,True,True
Q116859368,Đỗ Thị Việt Hà,bornIn,Q2904428,Danh Thắng,1978.0,21.324722222222,105.98166666667,21.324722222222,105.98166666667,historical_figures.csv,,,,True,True
Q116941779,Hoàng Quốc Khánh,bornIn,Q10770844,Hát Lót,1974.0,21.19305556,104.1019444,21.19305556,104.1019444,historical_figures.csv,,,,True,True
Q116868864,Đồng Ngọc Ba,bornIn,Q10798748,Nghĩa Hòa,1972.0,21.434722222222,106.24388888889,21.434722222222,106.24388888889,historical_figures.csv,,,,True,True
Q116924371,Lê Hữu Trí,bornIn,Q10801346,Ninh Hải,1968.0,12.567222222222,109.22333333333,12.567222222222,109.22333333333,historical_figures.csv,,,,True,True
Q116896478,Tráng A Dương,bornIn,Q10831537,Tả Van Chư,1977.0,22.600555555556,104.27722222222,22.600555555556,104.27722222222,historical_figures.csv,,,,True,True
Q116949045,Nguyễn Hải Dũng,bornIn,Q10786493,Liên Bảo,1967.0,20.37055556,106.1158333,20.37055556,106.1158333,historical_figures.csv,,,,True,True
Q116867152,Lê Văn Khảm,bornIn,Q16481195,Lãng Ngâm,1969.0,21.02222222,106.1430556,21.02222222,106.1430556,historical_figures.csv,,,,True,True
Q116921399,Nguyễn Ngọc Sơn,bornIn,Q10841283,Đại Đức,1975.0,20.871944444444,106.51611111111,20.871944444444,106.51611111111,historical_figures.csv,,,,True,True
Q116866378,Nguyễn Thị Ngọc Xuân,bornIn,Q10825724,Thái Hòa,1985.0,10.989444444444,106.75694444444,10.989444444444,106.75694444444,historical_figures.csv,,,,True,True
Q116938007,Nguyễn Danh Tú,bornIn,Q30923645,Hàng Bông,1981.0,21.028611111111,105.84555555556,21.028611111111,105.84555555556,historical_figures.csv,,,,True,True
Q116941482,Phạm Đình Thanh,bornIn,Q86012554,Tân Mỹ Hà,1967.0,18.540277777778,105.53527777778,18.540277777778,105.53527777778,historical_figures.csv,,,,True,True
Q116959533,Nguyễn Thành Nam,bornIn,Q10827175,Tiên Cát,1966.0,21.312222222222,105.4025,21.312222222222,105.4025,historical_figures.csv,,,,True,True
Q116909017,Trần Văn Khải,bornIn,Q10805061,Phan Sào Nam,1975.0,20.750833333333,106.15944444444,20.750833333333,106.15944444444,historical_figures.csv,,,,True,True
Q116941732,Hoàng Văn Bình,bornIn,Q7710095,Than Uyên,1970.0,21.91424,103.82857,21.91424,103.82857,historical_figures.csv,,,,True,True
Q116959581,Vũ Tuấn Anh,bornIn,Q33373,Lào Cai,1969.0,22.419444444444,103.995,22.419444444444,103.995,historical_figures.csv,,,,True,True
Q116890759,Trần Văn Sáu,bornIn,Q2987563,Sa Đéc,1966.0,10.31052,105.73968,10.31052,105.73968,historical_figures.csv,,,,True,True
Q116924372,Hà Hồng Hạnh,bornIn,Q10833543,Vĩnh Hiệp,1976.0,12.25472222,109.1455556,12.25472222,109.1455556,historical_figures.csv,,,,True,True
Q116946987,Sùng A Lềnh,bornIn,Q10771772,Mường Hoa,1975.0,22.311388888889,103.89944444444,22.311388888889,103.89944444444,historical_figures.csv,,,,True,True
Q116866289,Nguyễn Thị Kim Anh,bornIn,Q10800694,Ngọc Trạo,1973.0,19.802222222222,105.77722222222,19.802222222222,105.77722222222,historical_figures.csv,,,,True,True
Q116857381,Huỳnh Thị Phúc,bornIn,Q2520941,Long Phước,1976.0,10.51555556,107.225,10.51555556,107.225,historical_figures.csv,,,,True,True
Q116868950,Vũ Ngọc Long,bornIn,Q10835078,Xuân Thiên,1971.0,19.94694444,105.4405556,19.94694444,105.4405556,historical_figures.csv,,,,True,True
Q116848857,Nguyễn Duy Minh,bornIn,Q671678,Điện Quang,1982.0,15.836944444444,108.18222222222,15.836944444444,108.18222222222,historical_figures.csv,,,,True,True
Q116822545,Nguyễn Trúc Anh,bornIn,Q10757653,Dạ Trạch,1974.0,20.866944444444,105.95361111111,20.866944444444,105.95361111111,historical_figures.csv,,,,True,True
Q116894412,Lê Hoàng Anh,bornIn,Q16480484,Hòa Lộc,1973.0,19.899444444444,105.92861111111,19.899444444444,105.92861111111,historical_figures.csv,,,,True,True
Q116894193,Đinh Ngọc Quý,bornIn,Q10748252,Tiên Sơn,1973.0,20.58638889,105.9725,20.58638889,105.9725,historical_figures.csv,,,,True,True
Q116921405,Đặng Bích Ngọc,bornIn,Q10761416,Gia Xuân,1980.0,,,,,historical_figures.csv,,,,True,True
Q116867624,Nguyễn Thị Thu Thủy,bornIn,Q10768847,Hoài Châu Bắc,1976.0,,,,,historical_figures.csv,,,,True,True
Q116858893,Hà Sỹ Huân,bornIn,Q86013032,Yên Phong,1978.0,22.05,105.61666666667,22.05,105.61666666667,historical_figures.csv,,,,True,True
Q116860552,Trần Thị Vân,bornIn,Q10841106,Đại Lai,1975.0,21.0925,106.2119444,21.0925,106.2119444,historical_figures.csv,,,,True,True
Q116921401,Bùi Sỹ Hoàn,bornIn,Q10810068,Quang Trung,1975.0,,,,,historical_figures.csv,,,,True,True
Q116896480,Lý Thị Lan,bornIn,Q32300809,Sĩ Hai,1974.0,22.871666666667,106.19138888889,22.871666666667,106.19138888889,historical_figures.csv,,,,True,True
Q116941914,Phạm Trọng Nghĩa,bornIn,Q10805819,Phù Yên,1978.0,21.26416667,104.5838889,21.26416667,104.5838889,historical_figures.csv,,,,True,True
Q116955683,Trần Thị Hồng Thanh,bornIn,Q10743376,Bắc Sơn,1977.0,20.162222222222,105.91138888889,20.162222222222,105.91138888889,historical_figures.csv,,,,True,True
Q116850650,Nguyễn Mạnh Hùng,bornIn,Q10801127,Nhật Tân,1975.0,20.804249,106.250449,20.804249,106.250449,historical_figures.csv,,,,True,True
Q116872722,Phạm Thị Hồng Yến,bornIn,Q10825751,Thái Phương,1975.0,20.586944444444,106.18722222222,20.586944444444,106.18722222222,historical_figures.csv,,,,True,True
Q116813881,Lê Nhật Thành,bornIn,Q7023368,Nho Quan,1975.0,20.333,105.75,20.333,105.75,historical_figures.csv,,,,True,True
Q116909018,Phạm Hùng Thắng,bornIn,Q10756003,Diễn Phúc,1974.0,18.97055556,105.5827778,18.97055556,105.5827778,historical_figures.csv,,,,True,True
Q116884417,Lê Hoàng Hải,bornIn,Q10784258,Lam Sơn,1970.0,18.959444444444,105.25583333333,18.959444444444,105.25583333333,historical_figures.csv,,,,True,True
